연도,도로종류,지점번호,호선,구간,차로,AADT,XCODE,YCODE
2023,지방도,1112-01 ,1112,평대리-구좌읍,2,"2,916",33.5261,126.83752
2023,지방도,1112-03 ,1112,구좌읍-송당리,2,"6,297",33.46603,126.77246
2023,지방도,1112-04 ,1112,구좌읍-송당리,2,"11,921",33.43888,126.74435
2023,지방도,1112-05 ,1112,송당리-교래리,2,"6,680",33.43478,126.731
2023,지방도,1112-06 ,1112,교래리-봉개동,2,"5,501",33.43032,126.66773
2023,지방도,1116-01 ,1116,한림리-동명리,4,"6,850",33.40669,126.26792
2023,지방도,1116-03 ,1116,금악리-동광리,2,"7,311",33.35708,126.29679
2023,지방도,1117-01 ,1117,아라동-해안동,2,"4,625",33.43974,126.55486
2023,지방도,1117-02 ,1117,해안동-애월읍,2,"5,671",33.41562,126.47855
2023,지방도,1117-03 ,1117,해안동-애월읍,2,"4,436",33.38876,126.37645
2023,지방도,1120-02 ,1120,한경면-한림읍,2,"3,442",33.39096,126.26376
2023,지방도,1120-03 ,1120,신평리-한경면,2,"1,366",33.31729,126.24691
2023,지방도,1121-01 ,1121,한림읍-애월읍,2,"3,001",33.43532,126.35576
2023,지방도,1123-01 ,1123,상가리-애월리,2,"1,989",33.44559,126.33561
2023,지방도,1123-02 ,1123,상가리-상가리,2,"2,207",33.40508,126.37581
2023,지방도,1124-01 ,1124,송당리-수산리,2,"5,971",33.44697,126.76847
2023,지방도,1131-04 ,1131,영평동-제주시,6,"22,216",33.45516,126.55131
2023,지방도,1131-05 ,1131,영평동-제주시,6,"37,478",33.48242,126.54347
2023,지방도,1132-01 ,1132,제주시-조천읍,6,"14,136",33.52172,126.58968
2023,지방도,1132-23 ,1132,삼양일동-신촌리,4,"32,679",33.52075,126.59904
2023,지방도,1132-02 ,1132,제주시-조천읍,4,"19,132",33.52765,126.64269
2023,지방도,1132-05 ,1132,조천읍-성산읍,4,"12,424",33.52858,126.84027
2023,지방도,1132-17 ,1132,대정읍-한림읍,4,"3,247",33.30923,126.18469
2023,지방도,1132-18 ,1132,대정읍-한림읍,4,"8,424",33.37469,126.21553
2023,지방도,1132-19 ,1132,한림읍-제주시,4,"19,312",33.44455,126.30129
2023,지방도,1132-22 ,1132,애월리-구엄리,4,"25,379",33.47574,126.38064
2023,지방도,1132-20 ,1132,한림읍-제주시,4,"40,202",33.49337,126.44402
2023,지방도,1135-01 ,1135,북제주-애월읍,4,"48,969",33.45192,126.43967
2023,지방도,1135-02 ,1135,북제주-애월읍,4,"49,261",33.37858,126.37042
2023,지방도,1136-01 ,1136,제주시-애월읍,2,"15,106",33.47749,126.54147
2023,지방도,1136-02 ,1136,제주시-애월읍,6,"54,364",33.47467,126.46493
2023,지방도,1136-03 ,1136,애월읍-상가리,4,"8,205",33.46387,126.43691
2023,지방도,1136-05 ,1136,상가리-창천리,2,"4,119",33.37397,126.28474
2023,지방도,1136-18 ,1136,성읍리-송당리,2,"4,735",33.47168,126.7789
2023,지방도,1136-20 ,1136,송당리-회천동,2,"3,575",33.49342,126.6836
2023,지방도,1136-21 ,1136,송당리-회천동,2,"7,412",33.5003,126.64794
2023,지방도,1136-22 ,1136,회천동-아라동,6,"14,432",33.47823,126.55191
2023,지방도,1139-05 ,1139,제주시-중문동,2,"4,443",33.42535,126.49194
2023,국가지원지방도,Feb-97,97,회천동-조천읍,6,"35,044",33.48554,126.60472
2023,국가지원지방도,May-97,97,조천읍-성읍리,4,"19,589",33.43883,126.73141
2023,국가지원지방도,Jun-97,97,조천읍-성읍리,4,"11,486",33.43417,126.74154
2023,국가지원지방도,Oct-97,97,제주시-회천동,6,"31,381",33.49283,126.58976
2023,국가지원지방도,Nov-97,97,건입동-화북이동,6,"29,982",33.50374,126.56443
2023,국가지원지방도,Mar-99,99,교래리-대흘리,2,"4,339",33.46825,126.65986
2023,국가지원지방도,Apr-99,99,대흘리-신촌리,2,"4,585",33.50176,126.64954
