구분,상호명,소재지,객실수,연락처,비고,Latitude,Longitude
관광호텔업,(주)호텔하니크라운,제주특별자치도 제주시 삼성로 10  ,61,064-758-4200,특이사항없음,33.5050011,126.5277575
관광호텔업,글래드호텔앤리조트㈜ 메종글래드제주,제주특별자치도 제주시 노연로 80 ,513,064-747-5000,특이사항없음,33.4848645,126.4885577
관광호텔업,제주썬호텔,제주특별자치도 제주시 삼무로 67   ,203,064-741-8000,특이사항없음,33.4901372,126.4939989
관광호텔업,제주로얄호텔,제주특별자치도 제주시 신대로12길 45 ,126,064-743-2222,특이사항없음,33.4885606,126.4917047
관광호텔업,제주팔레스호텔,제주특별자치도 제주시 탑동로 9,94,064-753-8811,특이사항없음,33.5168727,126.52372
관광호텔업,제주서울관광호텔,제주특별자치도 제주시 탑동로 5,108,064-752-2211,휴업기간(2019-01-07~2025-12-31),33.5167668,126.5241772
관광호텔업,펄호텔 제주,제주특별자치도 제주시 신대로20길 49  ,88,064-742-8871,특이사항없음,33.4834605,126.4907753
관광호텔업,제주아일랜드호텔리조트,제주특별자치도 제주시 애월읍평화로 2477,101,064-799-8222,휴업기간(2021-12-23~2026-12-31),33.4320558,126.4162661
관광호텔업,제주오리엔탈호텔,제주특별자치도 제주시 탑동로 47,321,064-752-8222,특이사항없음,33.5174647,126.5197921
관광호텔업,삼해인관광호텔,제주특별자치도 제주시 도령로 108  ,86,064-742-5311,특이사항없음,33.4913289,126.4894864
관광호텔업,호텔 스카이파크,제주특별자치도 제주시 삼무로 48,147,064-797-0000,특이사항없음,33.4895545,126.4917355
관광호텔업,제주퍼시픽호텔,제주특별자치도 제주시 서사로 20   ,177,064-758-2500,특이사항없음,33.5106318,126.5192136
관광호텔업,스타즈호텔 제주 로베로,제주특별자치도 제주시 관덕로 26 ,121,064-757-7111,특이사항없음,33.5128705,126.5219573
관광호텔업,메이더호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,54,064-766-8888,특이사항없음,33.5291728,126.8123293
관광호텔업,금룡관광호텔,제주특별자치도 제주시 삼무로 79,70,064-747-8885,휴업기간(2022-07-01~2024-12-31),33.4900002,126.495198
관광호텔업,코쿤애월,제주특별자치도 제주시 애월읍 중엄3길 50,30,064-744-8006,특이사항없음,33.4778567,126.3716446
관광호텔업,라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66  ,400,064-729-8100,특이사항없음,33.5185854,126.5171129
관광호텔업,오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490,74,064-783-0007,특이사항없음,33.5425306,126.6651685
관광호텔업,(주)블랙스톤리조트,제주특별자치도 제주시 한림읍 한창로 925-122,36,064-795-2126,특이사항없음,33.3355186,126.3240674
관광호텔업,호텔라온제주,제주특별자치도 제주시 한림읍 금능남로 127,51,064-796-7730,특이사항없음,33.3810152,126.2411754
관광호텔업,파크사이드관광호텔,제주특별자치도 제주시 도령로 126,70,064-746-4545,특이사항없음,33.4924608,126.4908325
관광호텔업,애플관광호텔,제주특별자치도 제주시 동광로 45 ,40,064-725-1552,특이사항없음,33.5030464,126.5335563
관광호텔업,관광호텔 더레드,제주특별자치도 제주시 동광로6길 10 ,59,064-725-7252,특이사항없음,33.501029,126.5318941
관광호텔업,엠버시티호텔,제주특별자치도 제주시 노연로 13,51,064-711-8500,특이사항없음,33.4863181,126.4816697
관광호텔업,퓨어스테이호텔,제주특별자치도 제주시 신대로 68,43,064-742-2714,특이사항없음,33.4913604,126.4962605
관광호텔업,올레관광호텔,제주특별자치도 제주시 서광로 254,71,064-723-2727,특이사항없음,33.4995474,126.5236536
관광호텔업,로긴호텔,제주특별자치도 제주시 서해안로 442-9,31,064-712-2377,특이사항없음,33.5173462,126.4879624
관광호텔업,엠버호텔,제주특별자치도 제주시 삼무로 12,67,064-745-7459,특이사항없음,33.4897648,126.4878231
관광호텔업,해호텔,제주특별자치도 제주시 서해안로 526,32,064-742-4356,특이사항없음,33.5197743,126.4952111
관광호텔업,롯데시티호텔 제주,제주특별자치도 제주시 도령로 83,262,064-730-1071,특이사항없음,33.4906409,126.4866038
관광호텔업,엠버호텔 센트럴,제주특별자치도 제주시 노연로 24,130,064-805-8688,특이사항없음,33.4858854,126.4826116
관광호텔업,씨앤제이관광호텔,제주특별자치도 제주시 광양8길 24,36,064-755-7413,특이사항없음,33.4998048,126.5270835
관광호텔업,제주미주호텔,제주특별자치도 제주시 신대로 60,76,064-805-4288,특이사항없음,33.4921975,126.4963274
관광호텔업,호텔 컬리넌,제주특별자치도 제주시 사장1길 26,59,064-743-6500,특이사항없음,33.4854123,126.4928464
관광호텔업,골든파크관광호텔,제주특별자치도 제주시 서광로2길 9,38,064-752-5820,특이사항없음,33.4992449,126.5129932
관광호텔업,오라관광호텔,제주특별자치도 제주시 연북로 217,61,064-713-6261,특이사항없음,33.4819468,126.504942
관광호텔업,씨앤관광호텔,제주특별자치도 제주시 일주서로 7490,60,064-711-7400,특이사항없음,33.4936882,126.4469991
관광호텔업,팜파스호텔 제주,제주특별자치도 제주시 서해안로 368-3,85,064-798-9000,특이사항없음,33.5115783,126.4847587
관광호텔업,스탠포드호텔앤리조트 제주A,제주특별자치도 제주시 애월읍 애월해안로 408,42,064-799-1671,특이사항없음,33.4765233,126.3600749
관광호텔업,스탠포드호텔앤리조트 제주,제주특별자치도 제주시 애월읍 애월해안로 406,38,064-799-1671,특이사항없음,33.4765233,126.3600749
