연번,관광지명,관광지 분야,관광지 구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
1,1100고지(휴게소),자연,관광지,제주특별자치도 서귀포시 1100로 1555,제주특별자치도 서귀포시 색달동 산 1-3,33.357773,126.46252,230,안내소+주차장+화장실,펜션,,115,40,한라산 정상을 동쪽에 끼고 제주시와 서귀포시를 잇는 산간도로 1100로는 제주도 최고의 눈꽃명소· 가장 쉽게 한라산을 조망할 수 있는 뷰포인트· 제주도의 아름다운 드라이브 명소 등 다양한 수식 문구를 가지고 있다. 그만큼 아름다운 풍경을 만나볼 수 있는 곳이다. 특히 겨울이면 눈 꽃이 내린 모습이 장관을 이뤄 여름보다 많은 사람들이 찾는다.,064-713-9950,한라산국립공원,2022-12-01
2,1100고지습지,자연,관광지,제주특별자치도 서귀포시 1100로 1555,제주특별자치도 서귀포시 색달동 산 1-2,33.357619,126.463057,22794,안내소+주차장+화장실,펜션,,4955,40,1100고지 습지는 한라산 고원지대에 형성된 대표적인 산지습지로서 16개 이상의 습지가 불연속적으로 분포하고 있으며· 이 습지들을 따라 2009년에 습지보호지역이 설정되었으며 같은 해에 람사르 습지에 등록되었다. 1100고지 습지의 동물과 식생환경에 대한 안내문이 탐방로 곳곳에 설치되어 있어 습지의 정보를 알 수 있다. 이곳에는 한라산에서만 서식하는 멸종위기 1급의 야생동물인 매와 야생생물 등이 존재하고 있으며· 습지의 낮은 곳에 고여있는 물은 야생동물의 식수원 역할을 하고 있다. 습지 안에는 나무로 이루어진 자연 생태탐방로가 있어 걸으면서 습지를 관람할 수 있다.,064-713-9950,한라산국립공원,2022-12-01
3,1112도로,자연,관광지,제주특별자치도 제주시 명림로 584,제주특별자치도 제주시 봉개동 산 78-1,33.43926,126.628326,297000,,리조트,,6465,,대한민국에서 가장 아름다운 도로 중 하나로 길 양 옆으로 하늘로 곧게 뻗은 삼나무들이 병풍처럼 펼쳐져 있다. 한라산국립공원 북동부 끝 지점에서 시작해 제주시 동부 지역을 북동쪽으로 가로지르며 뻗어나가다 평대리해안에서 끝나는 도로이다. 삼나무 길'이라는 별칭이 있을 정도로 길고 긴 도로 양쪽으로 하늘 높이 솟은 삼나무 가로수가 끝도 없이 펼쳐져 이국적이고 운치 있는 분위기로 유명하다. 이 도로는 기존의 도로를 개발한 것이 아니라 원시림을 베어내 새로 길을 냈기 때문에 길 양 옆으로 삼나무가 병풍처럼 펼쳐져 있다. 이러한 특성 때문에 2002년 대한민국 건설교통부(지금의 국토해양부)는 '제 1회 아름다운 도로' 대회에서 이 도로에 대상을 수여하였다.,064-712-6988,제주특별자치도청,2022-12-01
4,4.3해원방사탑,문화,관광지,제주특별자치도 제주시 신산로 82,제주특별자치도 제주시 일도이동 837-20,33.505213,126.534893,1179,안내소+주차장+화장실,호텔+게스트하우스,1998-04-03,256,70,제주도에는 예로부터 마을 어느 한 방위에 불길한 징조가 있거나· 풍수지리설에 따라 기운이 허하다고 믿는 곳에 액운을 막기 위해 방사탑을 세웠다. 돌을 쌓아 만든 방사탑은 '거욱대'· '거왁'이라고 불렸으며· 마을의 안녕을 수호한다고 여겼다. 이러한 제주도의 문화풍속을 참고해· 추진위에서는 4·3사건으로 인한 대규모 인명 및 물적 피해 그리고 공동체 파괴 등 무형의 피해를 재앙으로 간주해 해원방사탑을 쌓았다.,064-712-6988,제주특별자치도청,2022-12-01
5,5.16도로숲터널,자연,관광지,제주특별자치도 서귀포시 516로,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.361754,126.622834,12000,,,,2609,,5.16 도로를 지나면 도로 양쪽 나무가 아치형으로 도로를 감싸는 울창한 나무 터널을 만날 수 있다. 5.16도로는 제주에서 최초 개통된 국도로· 제주시와 서귀포를 이어준다. 한라산 성판악 휴게소를 기점으로 서귀포 방향으로 길을 따라가면 2.6km 지점에서 도로 주변의 상록수와 낙엽수가 숲터널을 이룬다. 사계절 내내 아름다운 산 속의 터널을 달리며 천천히· 느리게 제주의 숲을 느껴보자.,064-710-8590,제주특별자치도도로관리과,2022-12-01
6,9연대 본부 옛터,문화,관광지,제주특별자치도 서귀포시 대정읍 일주서로 2497,제주특별자치도 서귀포시 대정읍 상모리 3392-3,33.229118,126.262788,563,,호텔+펜션+게스트하우스+민박,,122,,국군의 모체인 국방경비대 제9연대는 향토연대로서 1946년 11월 모슬포에서 창설됐다. 다음해 3월부터 제주도민 청년들을 대상으로 1948년 4월까지 모두 8차례에 걸쳐 500여 명을 충원했다. 창설 초기 정치적 중립을 표방하나 1948년 초토화작전이 시행되면서 군경토벌대의 주축이 된다.,064-712-6988,제주특별자치도청,2022-12-01
7,SM디지털아트뮤지엄,기타,관광지,제주특별자치도 제주시 애월읍 애월해안로 516-7,,33.477169,126.359282,1652,,,,,,SM 디지털아트 뮤지움은 빌라드애월호텔 전시관으로 기간별로 다양한 전시를 볼 수 있다. 개관 후 첫 전시로 1년간 ‘피지털 아트(Phygital Art)’전· 『알리사· 리턴 투 원더랜드 : Alisa· return to wonderland』가 열렸다. 피지털은 몸(Physical)과 디지털(Digital)의 합성어로 사람의 움직임에 반응하며 상호작용하는 미디어 콘텐츠를 의미한다. 500평의 공간· 4200만 화소의 컬러 프로젝션· 다수의 사용자가 동시에 참여할 수 있는 대형 스크린이 설치된 12개의 테마관으로 구성됐다. <이상한 나라의 앨리스>의 이야기를 따라 교육적 효과와 재미를 세심하게 설계한 본 전시는 관람자들에게 즐거운 초현실적 경험을 제공한다.,064-710-2114,제주특별자치도청,2022-12-01
8,SOS박물관,기타,관광지,제주특별자치도 서귀포시 월드컵로 31,,33.247066,126.507456,,,,,,,현실에서 일어나는 재난 상황을 대비할 방법과 경각심을 일깨워주는 SOS 박물관에는 다양한 체험시설이 있다. 지진이나 산사태가 일어났을 때 모습을 그림으로 나타낸 전시공간과 재난 상황을 실제로 경험해볼 수 있는 가상현실 체험공간이 있다. 가상현실 체험공간에서는 재난 상황에 맞게 체험할 수 있을 뿐 아니라 대처 방법에 대한 설명을 들을 수 있다. 체험 전 매표소에서 재해예방교육 봉사활동 인증서 발급이 가능하다.,064-710-2114,제주특별자치도청,2022-12-01
9,THE WE,의료,관광지,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30 위(WE)호텔,33.286223,126.444243,46423,주차장+화장실,리조트+호텔+펜션,,3000,120,대한민국 최초로 호텔과 헬스케어 서비스가 융합된 모델로써· 치료뿐 아니라 건강증진센터에서 내적인 안티에이징· 뷰티센터에서 심미적인 안티에이징 등 다양한 헬스케어 프로그램을 운영하고 있다. WE 호텔과 함께 운영되며 5성 호텔 서비스를 결합한 원스톱 서비스를 제공하고 있다.,064-730-1421,WE병원,2022-12-01
10,WE호텔 웰니스센터,의료,관광지,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30 위(WE)호텔,33.286223,126.444243,46423,주차장+화장실,리조트+호텔+펜션,,3000,120,WE 호텔은 한국에서 처음으로 관광과 헬스케어 서비스가 융합된 맞춤형 헬스리조트다. 웰니스 센터에서는 다양한 미네랄 성분이 함유된 물을 이용한 수(水)치료 프로그램과 헬스케어 서비스를 제공한다.,064-730-1462,WE호텔 웰니스센터,2022-12-01
11,가마오름,자연,관광지,제주특별자치도 제주시 한경면 청수서5길 63,제주특별자치도 제주시 한경면 청수리 847,33.305638,126.247149,16660,주차장+화장실,펜션+민박,,3622,70,한경면 수룽이마을(산양리 수룡동) 뒷산으로 마을 남동쪽 약 500m지점에 위치한 오름으로· 수룡동 마을안길로 들어가면 쉽게 오를 수 있다. 주봉인 남쪽봉우리를 중심으로 북쪽으로 뻗은 등성마루에는 언덕같은 봉우리가 솟아 있고· 완만한 동사면은 북동쪽으로 말굽형 화구를 이루며 얕고 넓게 벌어져 있으며 붉은송이로 이루어져 있다.,064-740-6000,제주관광정보센터,2022-12-01
12,가마오름 진지동굴,문화,관광지,제주특별자치도 제주시 한경면 청수서5길 63,제주특별자치도 제주시 한경면 청수리 847,33.305238,126.247877,1005,주차장+화장실,펜션+민박,2006-12-04,218,70,가마오름 동굴진지는 제주시 한경면 청수리 평화동 가마오름 기슭에 위치했다. 일본군이 군사기지로 썼던 땅굴을 재활용한 특수 박물관이다. 여기서 산방산과 모슬포· 알뜨르 비행장· 고산 해안가 등을 한눈에 볼 수 있다. 총 2km로 추정되는 땅굴 진지는 제주특별자치도 최대 규모로 모두 17곳이 있으며 출입구는 33개가 있다.,064-740-6000,제주관광정보센터,2022-12-01
13,가메오름,자연,관광지,,제주특별자치도 제주시 애월읍 봉성리 산 124,33.367159,126.335671,44758,,리조트,,9730,,다른 오름의 비해· 정상에 낮고 작은 분화구가 있다. 하지만 정상에서 누운 오름과 새별 오름· 이달 오름 등을 볼 수 있다. 한림의 비양도와 바다도 볼 수 있다.,064-712-6988,제주특별자치도청,2022-12-01
14,가뫼물,자연,관광지,제주특별자치도 서귀포시 남원읍 남위남성로 168,제주특별자치도 서귀포시 남원읍 남원리 2140-6,33.289997,126.693503,50000,주차장+화장실(3동)+음료대+안내소+피난시설,리조트+펜션+게스트하우스,,10870,30,제주농촌생태체험농장 ‘가뫼물’은 서귀포시 남원읍에 위치하며 겨울에도 감귤을 볼 수 있다. 날이 가물어도 마르지 않는 샘이라 ‘가뫼물’이라 이름 붙였다. 곶자왈 물이 모여 생긴 웅덩이로 제주인은 밭일에 썼으며 동물에게도 생명수가 됐다.,064-764-7759,농업회사법인가뫼물,2022-12-01
15,가문이오름(감은이오름),자연,관광지,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산 158-2,33.40273,126.688282,128882,주차장+화장실+음료대+안내소+피난시설,호텔+펜션,,28018,150,붉은오름과 마주한 가문이오름은 오름 중턱에 삼나무와 해송이 숲이· 그 위로는 낙엽수림이 우거져 있다. 숲이 우거져 검게 보인다고 하여 가문이오름이라 이름 지어졌다. 말굽형의 분화구를 하고 있고· 흰 노루귀· 분홍 노루귀 등 생소한 야생화가 자란다. 붉은오름뿐 아니라 구두리 오름· 쳇망 오름 등 여러 오름과 함께 군락이 형성되어 있다.,064-740-6000,제주관광정보센터,2022-12-01
16,가세오름,자연,관광지,,제주특별자치도 서귀포시 표선면 가시리 산 158-2,33.331991,126.781568,126219,,펜션,,27439,,표선면에 위치한 가세 오름은 산봉우리가 두 갈래로 나눠진 말굽형의 오름이다. 또한 오름의 형태가 가위 같아· 제주도 방언인 ‘가세’를 붙여 이름 지어졌다. 가세 오름에는 5개의 암설류인 봉우리인 염통 오름· 족은 염통· 달 모루· 진동산· 숨골왓이 있다. 가세 오름 초행길은 안내 표지판이 있으나 찾기도 어렵고 탐방로가 복잡하여 헤맬 수 있으니 주의를 요한다. 또한 가시덤불로 다칠 수 있어 긴 바지를 입는 것이 좋다.,064-740-6000,제주관광정보센터,2022-12-01
17,가시악,자연,관광지,,제주특별자치도 서귀포시 대정읍 동일리 1706,33.24658,126.242851,263863,,,,57362,,가시오름은 제주시 중심에서 멀리 떨어진 오름이라 일부러 시간을 내어 오르지 않으면 가기 쉽지 않다. 이름에서 알 수 있듯 이 오름에는 가시나무가 많았다. 하지만 지금은 거의 없고· 산정상은 축구장처럼 넓어 띠(제주어 ‘새’)가 살고 있다. 아름다운 한라산과 모슬봉· 가파도와 마라도까지 조망권이 좋다.,064-740-6000,제주관광정보센터,2022-12-01
18,가파도,자연,관광지,,제주특별자치도 서귀포시 대정읍 가파리,33.170685,126.272632,840000,화장실+음료대+안내시설,펜션+민박,,182609,,가파도는 제주도 부속섬 중 네번째로 크다. 위에서 내려다보면 가파리(가오리 제주방언) 모양을 하고 있어 이름 붙여졌다. 혹은 덮개 모양을 닮아 '개도(蓋島)'라 불리다 가파도라 굳어졌다는 설도 있다. 상동과 하동으로 나눠지며· 177명이 거주한다. 포구 근처 자전거를 대여할 수 있지만· 평지가 많고 한두 시간이면 다 걸을 수 있다.,064-712-6988,제주특별자치도청,2022-12-01
19,가파도 마라도 정기여객선,기타,관광지,제주특별자치도 서귀포시 대정읍 최남단해안로 120,제주특별자치도 서귀호피 하모리 646-20,33.210152,126.25851,,,,,,,정기 여객선은 한국 최남단에 있는 마라도와 가파도 사이를 오간다. 승선하기 위해서 신분증을 지참하여야 하고 배 운항시간을 체크해야 한다. 운진항에서 출발하는 배편 중 마지막 한두 편은 편도만 운행할 수도 있다. 오후 3시· 4시쯤 운항이 마치기 때문에· 당일 왕복 탑승을 원한다면 주의해야 한다.,064-710-2114,제주특별자치도청,2022-12-01
20,가파도 청보리 축제,축제,관광지,제주특별자치도 서귀포시 대정읍 가파로91번길 51,제주특별자치도 서귀포시 대정읍 가파리 276,33.170018,126.271518,7200,화장실+음료대+안내시설,펜션+민박,,1565,,가파도는 대정읍 모슬포항에서 배로 20여분 가면(남쪽으로 5.5㎞) 나온다. 동쪽으로 한라산을 비롯한 5개산(산방산· 송악산· 고근산· 군산· 단산)이 둘러져 있다. 서쪽으로는 국토 마라도가 보인다. 가파도는 최남단에서 가장 먼저 봄소식을 전해준다. 3월 초부터 5월 초순까지 보리잎이 절정을 이루며· 특히 가파도 청보리의 향맥은 타 지역보다 두 배 이상 크게 자란다. 제주특별자치도 향토 품종으로 전국에서 가장 먼저 높고 푸르게 자란다.,064-740-6000,제주관광정보센터,2022-12-01
21,가파초등학교 마라분교장,기타,관광지,제주특별자치도 서귀포시 대정읍 마라로 58,제주특별자치도 서귀포시 대정읍 가파리 696,33.119304,126.266937,,,,,,,마라도에 거주하는 아이들의 교육을 위해 1958년 8월 31일에 설립인가· 이후 1962년 8월 26일에 1개 교실을 신축하고 학생수의 증가로 1972년 11월 30일 1개 교실건물을 증축 1977년 6월 10일 숙직실 및 숙사를 신축· 1981년 10월 26일 급식실을 신축하여 현재의 모습을 갖고 있다.,064-710-2114,제주특별자치도청,2022-12-01
22,각시바우오름,자연,관광지,,제주특별자치도 서귀포시 호근동 2112,33.276755,126.527037,35461,,리조트+호텔+펜션,,7709,,조면암질의 용암원정구로 된 바위산으로 험한 산세를 보이며· 제지기오름· 섶섬· 문섬· 범섬과 연결되는 제주도(濟州島) 남부해안의 용암원정구대를 이루고 있다. 북사면은 완만한 구릉으로 이어진 데에 반해· 남사면은 세가닥 등성마루가 뻗어내리고 이 등성마루는 중앙에 바위로 이루어진 주봉을 중심으로 좌· 우 양쪽에 하나는 남동향 다른 하나는 남서향으로 마치 학이 양날개를 펼친 듯이 뻗쳐 있어· 학이 날개를 펴고 날아와 앉은 모양이라 하여 일명 학수바위(鶴首岩)라고도 한다. 각수바우오름이라고도 하며 줄여서 각시바우· 각수바우 또는 학수바우라고 부른다.,064-740-6000,제주관광정보센터,2022-12-01
23,감귤박물관,기타,관광지,제주특별자치도 서귀포시 효돈순환로 441,,33.271577,126.607516,2315,,,,,,감귤박물관은 제주특별자치도 특산물인 감귤을 테마로 감귤의 역사와 품종· 재배 방법· 세계 감귤 모습 등 다양한 패널과 영상으로 구성하여 전시되어 있는 국내 최초 개관한 1종 공립전문박물관이다. 주요 시설로는 감귤박물관(2·315㎡)· 세계감귤재배유리온실(2·471㎡)· 감귤체험학습장(2·736㎡)· 아열대식물원(1·650㎡)· 기획전시실(97㎡) 등이 있다. 아이들이 좋아하는 감귤 밭에서 사진 찍기· 감귤 냄새 맡기· 감귤 따기 체험(겨울 시즌 한정) 등을 할 수 있어· 아이들을 동반한 가족 단위 여행객에게 추천되는 명소 중 한 곳이다.,064-710-2114,제주특별자치도청,2022-12-01
24,감귤박물관 월랑봉 산책고-생이소리길,자연,관광지,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 1200-6,33.272227,126.608774,4500,주차장+화장실+음료대+안내소+피난시설,펜션+민박,,978,90,감귤박물관을 감싸고 있는 월라봉을 산책할 수 있는 생이소리길은 천천히 걸으면 1시간 정도의 코스로 월라봉 정산바위까지 오를 수 있다. 어떤 이는 짧은 코스라 아쉽다고 하지만 남녀노소 천천히 다녀올 수 있는 코스이다.,064-740-6000,제주관광정보센터,2022-12-01
25,감사공묘역,문화,관광지,제주특별자치도 제주시 조천읍 함대로 362,제주특별자치도 제주시 조천읍 조천리 1191,33.152795,126.661194,16878,,호텔+펜션+게스트하우스,,3669,,제주도에서 겹벚꽃을 볼 수 있는 봄나들이 명소,064-740-6000,제주특별자치도청,2022-12-01
26,감수굴 밭담길,자연,관광지,제주특별자치도 제주시 구좌읍 평대7길 34,제주특별자치도 제주시 구좌읍 평대리 584-1,33.531369,126.843113,,,펜션+게스트하우스+민박,,,,평대리 중동에 위치한 감수굴 밭담길은 고즈넉한 마을의 옛 정취 그대로의 풍경을 즐기며 산책하기 좋다. 밭담의 돌들이 얼기설기 물려있고· 틈새가 있어 태풍에도 무너지지 않는다. 평대리 밭담 사이사이로 제주특별자치도 햇살과 풍광을 만끽해보자.,064-712-6988,제주특별자치도청,2022-12-01
27,갑자기 히어로즈 벽화길,기타,관광지,제주특별자치도 제주시 애월읍 금성1길 29-3,,33.446774,126.299558,,,,,,,마을 곳곳 민원을 해결하는 갑자기 히어로즈에서 애월읍 금성리 마을 해안도로에 벽화 거리를 조성했다. 제주특별자치도 분위기를 풍기는 바다와 돌하르방· 인물 캐리커처 등 재밌는 그림을 감상할 수 있다. 해안도로 앞 건물 역시 그림으로 꾸며졌으며 이곳을 꾸민 프로그램 진행자들의 사인도 함께 있다.,064-710-2114,제주특별자치도청,2022-12-01
28,갓전시관[갓전수교육관],기타,관광지,제주특별자치도 제주시 조천읍 남조로 190,,33.437114,126.670733,,,,,,,갓 전시관은 중요무형문화재 제4호 고분양태 보유자 장순자 선생이 전수교육관 부지를 제공해 건립됐다. 갓 만드는 작업은 물론 갓의 원형 등의 전시실· 체험실· 영상실· 공방 등이 있다. 이 전시관은 제주도문화재 보호조례에 따라 기능보유자 장씨가 위탁관리하며 전승장소로 활용된다.,064-710-2114,제주특별자치도청,2022-12-01
29,강병대교회,문화,관광지,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,제주특별자치도 서귀포시 대정읍 상모리 3846,33.226687,126.257451,3554,공용주차장,호텔+게스트하우스+민박,,773,20,서귀포시 대정읍에 있는 강병대교회는 등록문화재 제38호로 지정됐다. 훈련병의 정신력 강화· 위안을 위해 1952년에 공병대에서 건립했다. 벽체가 현무암이며 전체 규모 절반 정도가 준공 당시 모습을 유지해 역사적 가치가 높은 국방 기념물이다.,070-7790-3860,강병대교회,2022-12-01
30,강정어촌계,자연,관광지,제주특별자치도 서귀포시 말질로 290,제주특별자치도 서귀포시 강정동 4964,33.227541,126.474812,320,화장실,리조트+펜션+게스트하우스,,70,,강정마을은 뛰어난 경치의 올레 7코스에 있다. 외돌개· 법환포구· 강정포구를 끼고 있어 관광객이 꼭 들리는 명소로 유명하다. 제주월드컵경기장· 신시가지가 있는 농어촌 주거지역으로 감귤· 어업· 관광이 어우러져 여름철 낚시꾼이 즐겨 찾는다.,064-712-6988,제주특별자치도청,2022-12-01
