기준년월,지번코드,지번코드 위치,00시~01시 유동인구,01시~02시 유동인구,02시~03시 유동인구,03시~04시 유동인구,04시~05시 유동인구,05시~06시 유동인구,06시~07시 유동인구,07시~08시 유동인구,08시~09시 유동인구,09시~10시 유동인구,10시~11시 유동인구,11시~12시 유동인구,12시~13시 유동인구,13시~14시 유동인구,14시~15시 유동인구,15시~16시 유동인구,16시~17시 유동인구,17시~18시 유동인구,18시~19시 유동인구,19시~20시 유동인구,20시~21시 유동인구,21시~22시 유동인구,22시~23시 유동인구,23시~00시 유동인구,00시~01시 유동인구 비율,01시~02시 유동인구 비율,02시~03시 유동인구 비율,03시~04시 유동인구 비율,04시~05시 유동인구 비율,05시~06시 유동인구 비율,06시~07시 유동인구 비율,07시~08시 유동인구 비율,08시~09시 유동인구 비율,09시~10시 유동인구 비율,10시~11시 유동인구 비율,11시~12시 유동인구 비율,12시~13시 유동인구 비율,13시~14시 유동인구 비율,14시~15시 유동인구 비율,15시~16시 유동인구 비율,16시~17시 유동인구 비율,17시~18시 유동인구 비율,18시~19시 유동인구 비율,19시~20시 유동인구 비율,20시~21시 유동인구 비율,21시~22시 유동인구 비율,22시~23시 유동인구 비율,23시~00시 유동인구 비율,데이터기준일자,Latitude,Longitude
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 귀덕리 3999-9744,7.71,4.61,3.3,2.6,2.91,6.72,15.34,38.08,61.62,77.71,86.56,87.82,85.34,86.69,87.82,88.62,96.19,100.56,87.09,61.67,47.76,36.81,21.79,13.19,0.000367363,0.000326707,0.000345979,0.000386129,0.000480994,0.000667747,0.000690489,0.000731567,0.000704774,0.000666305,0.000637877,0.000619489,0.00061378,0.000609976,0.000610383,0.000596447,0.000604261,0.000578166,0.000539301,0.000511606,0.000487822,0.000458625,0.000407824,0.000384479,2015-11-30,33.4372946,126.2798479
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 귀덕리 3000-384,5.12,3.02,2.09,1.62,1.75,4.24,9.86,24.73,40.1,50.42,56.07,57.17,55.64,56.42,57.05,57.71,62.75,65.69,57.22,40.87,31.78,24.52,14.63,8.87,0.000243697,0.000214156,0.000219584,0.000239958,0.000288442,0.000421336,0.000443946,0.000474981,0.000458648,0.000432329,0.000413212,0.000403254,0.000400162,0.000396998,0.00039651,0.000388434,0.000394202,0.000377662,0.000354346,0.000339037,0.000324573,0.000305482,0.000273735,0.000258658,2015-11-30,33.4405873,126.2907416
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 귀덕리 999-9616,7.29,4.25,2.81,2.18,2.52,5.72,13.93,36.72,62.62,81.12,90.98,93.09,90.91,92.6,93.21,94.91,102.37,108.78,92,62.94,49.49,37.81,21.99,13.06,0.000346993,0.000301222,0.000294282,0.000323011,0.000415672,0.000567752,0.000627259,0.000705403,0.000716169,0.000695503,0.000670426,0.000656649,0.000653839,0.000651571,0.000647861,0.00063878,0.00064309,0.000625434,0.000569735,0.00052208,0.000505436,0.000471202,0.00041156,0.000380748,2015-11-30,33.4444001,126.2954902
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 귀덕리 10-256,1.1,0.75,0.65,0.54,0.63,1.09,2.5,6.35,10.21,13.25,14.83,15.28,14.74,14.6,14.22,14.33,14.67,14.99,12.09,8.21,6.13,4.51,2.69,1.62,5.25054E-05,5.31194E-05,6.79166E-05,8.03323E-05,0.000104868,0.000107908,0.000112326,0.000121909,0.000116712,0.000113627,0.000109295,0.000107758,0.000106037,0.000102728,9.88356E-05,9.64293E-05,9.21691E-05,8.61937E-05,7.48473E-05,6.81126E-05,6.25854E-05,5.62399E-05,5.03082E-05,4.73335E-05,2015-11-30,33.4276129,126.3034349
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 귀덕리 2000-0,1.74,1.19,1.12,0.9,1.11,1.65,3.37,7.68,12.28,15.69,17.48,17.64,17.2,17.18,17.21,17.21,18.18,18.6,15.55,10.78,8.27,6.21,3.88,2.46,0.000083037,8.45844E-05,0.000117202,0.000133063,0.000183189,0.000163535,0.000151593,0.000147446,0.000140424,0.000134542,0.000128794,0.000124405,0.00012372,0.00012088,0.00011962,0.000115858,0.00011421,0.000106961,9.63045E-05,8.94038E-05,8.44617E-05,7.74109E-05,7.26895E-05,7.17534E-05,2015-11-30,33.4249422,126.2922995
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 수원리 1000-128,4.17,2.56,2.03,1.6,1.75,3.7,7.87,18.2,29.06,36.37,40.36,41.11,40.22,40.44,40.8,40.96,44.67,46.79,41.19,29.69,23.2,17.83,11.03,6.83,0.000198765,0.000181603,0.000213187,0.000237732,0.000288608,0.000367365,0.000354142,0.000349532,0.000332329,0.000311837,0.000297444,0.000289981,0.000289254,0.000284576,0.00028356,0.000275708,0.000280637,0.000268992,0.000255067,0.000246279,0.000236935,0.000222143,0.000206422,0.000199178,2015-11-30,33.4320657,126.2627955
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 수원리 9999-9744,6.02,3.57,2.6,2.11,2.39,5.6,12.48,30.39,48.46,60.83,67.76,68.34,66.25,67.43,68.51,68.83,74.84,78.04,67.83,48.14,37.06,28.6,16.86,10.2,0.000286597,0.000253328,0.000272645,0.000313563,0.000395293,0.000555998,0.000561733,0.000583788,0.000554259,0.000521537,0.000499354,0.000482082,0.000476438,0.000474445,0.000476215,0.000463238,0.000470162,0.000448671,0.000420049,0.000399307,0.000378478,0.000356421,0.00031546,0.000297294,2015-11-30,33.4309643,126.2681874
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 대림리 2000-0,38.23,23.54,18.9,13.55,14,27.44,55.68,126.07,207.28,257.75,284.02,299.83,299.05,293.3,290.1,295.32,324.1,343.24,310.29,232.33,188.94,145.6,97.34,61.56,0.00182097,0.001669182,0.001981779,0.002010681,0.002313929,0.002726152,0.002506393,0.002421888,0.002370596,0.002209976,0.002092965,0.002114942,0.00215074,0.002063791,0.002016362,0.001987621,0.002036015,0.001973412,0.001921468,0.001927216,0.001929675,0.00181431,0.001821667,0.001794592,2015-11-30,33.4249799,126.2687741
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 대림리 10-256,4.2,2.62,2.1,1.48,1.46,2.8,5.8,13.26,21.93,27.38,30.12,32.13,32.16,31.3,30.72,31.38,34.27,36.36,32.85,24.71,20.23,15.58,10.58,6.7,0.000200067,0.000185528,0.000219794,0.000219776,0.000241406,0.0002779,0.000261188,0.000254748,0.000250861,0.000234739,0.000221958,0.000226656,0.000231286,0.00022024,0.000213493,0.000211213,0.000215262,0.000209067,0.000203429,0.000204949,0.00020666,0.000194107,0.000197914,0.000195281,2015-11-30,33.4256487,126.2880411
Nov-15,5011030000000000000,제주특별자치도 제주시 한림읍 대림리 999-9616,9.87,6.02,4.65,3.49,3.67,7.8,17.03,40.74,66.18,83.01,92.06,95.23,93.51,93.25,93.06,94.22,102.27,107.24,94.35,68.54,54.16,41.62,26.23,16.21,0.000470342,0.000427201,0.000487126,0.000518301,0.000606407,0.000774729,0.000766623,0.000782583,0.000756891,0.000711719,0.000678419,0.000671768,0.00067256,0.000656151,0.000646855,0.000634129,0.00064243,0.00061658,0.000584253,0.000568551,0.000553144,0.000518682,0.000490887,0.000472616,2015-11-30,33.4306777,126.2795106
