주차장관리번호,주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,위도,경도
405-1-000001,시청 앞 공영주차장,공영,노상,"제주특별자치도 제주시 이도2동 1176-1,2",24,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-1-000002,동문재래노상 공영주차장,공영,노상,제주특별자치도 제주시 일도1동 1491-1,91,1,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5130207,126.5272881
405-1-000003,도청 서측 공영주차장,공영,노상,제주특별자치도 제주시 연동 312,29,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4880329,126.4978317
405-1-000004,노형오거리 공영주차장,공영,노상,제주특별자치도 제주시 노형동 1297-5,102,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.487537,126.4787914
405-1-000005,산지로 공영주차장,공영,노상,제주특별자치도 제주시 산지로 7,16,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5158954,126.5304318
405-1-000006,원노형10길 공영주차장,공영,노상,제주특별자치도 제주시 노형동 952,13,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4841959,126.4855208
405-1-000007,원노형푸른 제2 공영주차장,공영,노상,제주특별자치도 제주시 노형동 767,92,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4802917,126.4847413
405-2-000008,동문공설 공영주차장,공영,노외,제주특별자치도 제주시 일도1동 1103,253,1,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5130207,126.5272881
405-2-000009,노형 제2 공영주차장,공영,노외,제주특별자치도 제주시 노형동 1290-3,140,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.487313,126.4798306
405-2-000010,동문재래 공영주차장,공영,노외,제주특별자치도 제주시 이도1동 1330-5,124,1,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5060359,126.5275776
405-2-000011,법원 북측 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 1066,91,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000012,신제주 공영주차장,공영,노외,제주특별자치도 제주시 연동 272-31,491,1,미시행,평일+토요일+공휴일,12:00,22:00,12:00,22:00,12:00,22:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4890539,126.4914878
405-2-000013,인제 공영주차장,공영,노외,제주특별자치도 제주시 일도2동 409-11,124,1,미시행,평일,12:00,21:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000014,칠성골 공영주차장,공영,노외,제주특별자치도 제주시 삼도2동 1192-8,73,1,미시행,평일+토요일+공휴일,12:00,21:00,12:00,21:00,12:00,21:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5120406,126.5215055
405-2-000015,이도2동 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 1052-2,150,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000016,북수구 공영주차장,공영,노외,제주특별자치도 제주시 일도1동 1225 외 24필지,49,1,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5130207,126.5272881
405-2-000017,산짓물 공영주차장,공영,노외,제주특별자치도 제주시 건입동 1328 외 30필지,71,1,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5159832,126.5289551
405-2-000018,노형 정존 공영주차장,공영,노외,제주특별자치도 제주시 노형동 2612-2,161,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4854921,126.4747803
405-2-000019,도남 공영주차장,공영,노외,제주특별자치도 제주시 도남동 574-3,123,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4904339,126.5200974
405-2-000020,외도동 제1 공영주차장,공영,노외,제주특별자치도 제주시 외도1동 559-1,193,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4867397,126.4317617
405-2-000021,한림 상두거리 공영주차장,공영,노외,제주특별자치도 제주시 한림리 1198-3·4,124,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4124656,126.2653043
405-2-000022,중앙로상점가 공영주차장,공영,노외,제주특별자치도 제주시 이도1동 1492-1,67,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5060359,126.5275776
405-2-000023,아란길 공영주차장,공영,노외,제주특별자치도 제주시 아라1동 6093-4,54,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4736777,126.5447736
405-2-000024,연화로 공영주차장,공영,노외,제주특별자치도 제주시 연동 1519-2,98,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4776633,126.4892887
405-2-000025,노형 제5 공영주차장,공영,노외,제주특별자치도 제주시 노형동 3793,136,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4833003,126.476851
405-2-000026,정든로 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 429-7,62,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000027,동광 공영주차장,공영,노외,제주특별자치도 제주시 일도2동 82-8,71,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000028,화북일동 공영주차장,공영,노외,제주특별자치도 제주시 화북1동 2130-6,100,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5141133,126.5631438
